ProbeID,Lower_bound,Upper_bound,Phase_class,P_value
1416399_a_at,4,8,20,0.048
1416400_at,16,16,4,0.023
1416401_at,4,8,20,0.332
1416402_at,12,16,20,0.309
1416403_at,16,20,20,0.487
1416404_s_at,12,12,3,0.105
1416405_at,12,16,20,0.131
1416406_at,0,20,20,0.257
1416407_at,16,20,20,0.129
1416408_at,20,20,5,0.382
1416409_at,4,4,1,0.164
1416410_at,0,4,20,0.87
1416411_at,0,4,20,0.259
1416412_at,8,8,2,0.654
1416413_at,12,12,3,0.414
1416414_at,16,20,20,0.37
1416415_a_at,20,20,5,0.381
1416416_x_at,16,16,4,0.402
1416417_a_at,0,12,20,0.765
1416418_at,4,4,1,0.249
1416419_s_at,4,4,1,0.255
1416420_a_at,12,12,3,0.111
1416421_a_at,0,4,20,0.328
1416422_a_at,20,20,5,0.217
1416423_x_at,16,20,20,0.993
1416424_at,4,8,20,0.391
1416425_at,8,8,2,0.083
1416426_at,8,8,2,0.645
1416427_at,4,4,1,0.004
1416428_at,8,12,20,0.446
1416429_a_at,0,20,20,0.63
1416430_at,0,20,20,0.379
1416431_at,20,20,5,0.45
1416432_at,8,12,20,0.035
1416433_at,8,12,20,0.846
1416434_at,8,12,20,0.367
1416435_at,12,12,3,0.18
1416436_a_at,8,12,20,0.22
1416437_a_at,12,12,3,0.287
1416438_at,4,8,20,0.269
1416439_at,12,12,3,0.283
1416440_at,0,0,0,0.26
1416441_at,4,8,20,0.328
1416442_at,4,8,20,0.856
1416443_a_at,0,4,20,0.244
1416444_at,16,16,4,0.118
1416445_at,12,12,3,0.122
1416446_at,4,8,20,0.477
1416447_at,12,12,3,0.605
1416448_at,16,16,4,0.319
1416449_x_at,4,4,1,0.006
1416450_at,16,16,4,0.109
1416451_s_at,8,8,2,0.452
1416452_at,8,8,2,0.12
1416453_x_at,20,20,5,0.558
1416454_s_at,4,8,20,0.515
1416455_a_at,8,8,2,0.489
1416456_a_at,16,20,20,0.139
1416457_at,4,8,20,0.144
1416458_at,12,12,3,0.173
1416459_at,0,20,20,0.339
1416460_at,16,20,20,0.253
1416461_at,20,20,5,0.429
1416462_at,0,0,0,0.459
1416463_at,20,20,5,0.379
1416464_at,4,4,1,0.092
1416465_a_at,4,4,1,0.265
1416466_at,0,0,0,0.704
1416467_at,8,8,2,0.555
1416468_at,16,16,4,0.233
1416469_at,0,20,20,0.515
1416470_a_at,20,20,5,0.358
1416471_at,0,0,0,0.515
1416472_at,0,4,20,0.277
1416473_a_at,8,12,20,0.942
1416474_at,0,4,20,0.197
1416475_at,12,12,3,0.835
1416476_a_at,16,20,20,0.163
1416477_at,8,12,20,0.234
1416478_a_at,12,12,3,0.17
1416479_a_at,16,16,4,0.561
1416480_a_at,16,16,4,0.57
1416481_s_at,20,20,5,0.296
1416482_at,8,12,20,0.074
1416483_at,8,16,20,0.653
1416484_at,8,12,20,0.568
1416485_at,0,4,20,0.095
1416486_at,8,8,2,0.074
1416487_a_at,0,20,20,0.646
1416488_at,0,0,0,0.276
1416489_at,12,12,3,0.344
1416490_at,0,20,20,0.258
1416491_at,4,4,1,0.325
1416492_at,8,12,20,0.208
1416493_at,16,16,4,0.634
1416494_at,12,12,3,0.264
1416495_s_at,12,16,20,0.187
1416496_at,4,8,20,0.364
1416497_at,16,20,20,0.051
1416498_at,4,4,1,0.861
1416499_a_at,0,20,20,0.403
1416500_at,12,16,20,0.333
1416501_at,16,16,4,0.422
1416502_a_at,12,16,20,0.399
1416503_at,8,8,2,0.411
1416504_at,8,8,2,0.194
1416505_at,16,20,20,0.283
1416506_at,16,20,20,0.322
